Canonical Code,Organization / Unit Name,Entity Type,Level,Parent Code,Parent Name,Hierarchy Path,Code Status,Source Basis,Notes
TME0,Eco Energy & Textile Machinery Department,DEPARTMENT,3,DIV-ME,Machinery & Engineering Division,"Toyota Tsusho M&E (Thailand) Co.,Ltd. > Machinery & Engineering Division > Eco Energy & Textile Machinery Department",APPROVED,User-approved hierarchy + Org.FY2026_Rev.2 PDF,
TME1,Eco Energy & Textile Machinery,SECTION,4,TME0,Eco Energy & Textile Machinery Department,"Toyota Tsusho M&E (Thailand) Co.,Ltd. > Machinery & Engineering Division > Eco Energy & Textile Machinery Department > Eco Energy & Textile Machinery",APPROVED,User-approved hierarchy + Org.FY2026_Rev.2 PDF,
TME1-MARK,Marketing (Eco Energy),TEAM,5,TME1,Eco Energy & Textile Machinery,"Toyota Tsusho M&E (Thailand) Co.,Ltd. > Machinery & Engineering Division > Eco Energy & Textile Machinery Department > Eco Energy & Textile Machinery > Marketing (Eco Energy)",APPROVED,User-approved hierarchy + Org.FY2026_Rev.2 PDF,
TMS0,Technical Services Department,DEPARTMENT,3,DIV-ME,Machinery & Engineering Division,"Toyota Tsusho M&E (Thailand) Co.,Ltd. > Machinery & Engineering Division > Technical Services Department",APPROVED,User-approved hierarchy + Org.FY2026_Rev.2 PDF,
TMS1,Technical Services,SECTION,4,TMS0,Technical Services Department,"Toyota Tsusho M&E (Thailand) Co.,Ltd. > Machinery & Engineering Division > Technical Services Department > Technical Services",APPROVED,User-approved hierarchy + Org.FY2026_Rev.2 PDF,
TMS1-PROJ,Project Management,TEAM,5,TMS1,Technical Services,"Toyota Tsusho M&E (Thailand) Co.,Ltd. > Machinery & Engineering Division > Technical Services Department > Technical Services > Project Management",APPROVED,User-approved hierarchy + Org.FY2026_Rev.2 PDF,
TMS1-ENGI,Engineering,TEAM,5,TMS1,Technical Services,"Toyota Tsusho M&E (Thailand) Co.,Ltd. > Machinery & Engineering Division > Technical Services Department > Technical Services > Engineering",APPROVED,User-approved hierarchy + Org.FY2026_Rev.2 PDF,
TMS1-SAFE,Safety & ISO,TEAM,5,TMS1,Technical Services,"Toyota Tsusho M&E (Thailand) Co.,Ltd. > Machinery & Engineering Division > Technical Services Department > Technical Services > Safety & ISO",APPROVED,User-approved hierarchy + Org.FY2026_Rev.2 PDF,
DIV-G0,GIFU SEIKI Division,DIVISION,2,TTMET,"Toyota Tsusho M&E (Thailand) Co.,Ltd.","Toyota Tsusho M&E (Thailand) Co.,Ltd. > GIFU SEIKI Division",APPROVED,User-approved hierarchy + Org.FY2026_Rev.2 PDF,
TMG0,Mold & Engineering Department,DEPARTMENT,3,DIV-G0,GIFU SEIKI Division,"Toyota Tsusho M&E (Thailand) Co.,Ltd. > GIFU SEIKI Division > Mold & Engineering Department",APPROVED,User-approved hierarchy + Org.FY2026_Rev.2 PDF,
,Admin,FUNCTION,4,TMG0,Mold & Engineering Department,"Toyota Tsusho M&E (Thailand) Co.,Ltd. > GIFU SEIKI Division > Mold & Engineering Department > Admin",NEEDS_CODE_APPROVAL,User-approved hierarchy + Org.FY2026_Rev.2 PDF,No official code shown/provided
,CAD,FUNCTION,4,TMG0,Mold & Engineering Department,"Toyota Tsusho M&E (Thailand) Co.,Ltd. > GIFU SEIKI Division > Mold & Engineering Department > CAD",NEEDS_CODE_APPROVAL,User-approved hierarchy + Org.FY2026_Rev.2 PDF,No official code shown/provided
,Marketing,FUNCTION,4,TMG0,Mold & Engineering Department,"Toyota Tsusho M&E (Thailand) Co.,Ltd. > GIFU SEIKI Division > Mold & Engineering Department > Marketing",NEEDS_CODE_APPROVAL,User-approved hierarchy + Org.FY2026_Rev.2 PDF,No official code shown/provided
,Production,FUNCTION,4,TMG0,Mold & Engineering Department,"Toyota Tsusho M&E (Thailand) Co.,Ltd. > GIFU SEIKI Division > Mold & Engineering Department > Production",NEEDS_CODE_APPROVAL,User-approved hierarchy + Org.FY2026_Rev.2 PDF,No official code shown/provided
TMG1,Die Casting,SECTION,4,TMG0,Mold & Engineering Department,"Toyota Tsusho M&E (Thailand) Co.,Ltd. > GIFU SEIKI Division > Mold & Engineering Department > Die Casting",APPROVED,User-approved hierarchy + Org.FY2026_Rev.2 PDF,
,Admin,TEAM,5,TMG1,Die Casting,"Toyota Tsusho M&E (Thailand) Co.,Ltd. > GIFU SEIKI Division > Mold & Engineering Department > Die Casting > Admin",NEEDS_CODE_APPROVAL,User-approved hierarchy + Org.FY2026_Rev.2 PDF,No official code shown/provided
,ACC. HR & GA,SUB-TEAM,6,,Admin (under TMG1),ACC. HR & GA,NEEDS_CODE_APPROVAL,User-approved hierarchy + Org.FY2026_Rev.2 PDF,Parent code pending because Admin code is not approved
,CAD,TEAM,5,TMG1,Die Casting,"Toyota Tsusho M&E (Thailand) Co.,Ltd. > GIFU SEIKI Division > Mold & Engineering Department > Die Casting > CAD",NEEDS_CODE_APPROVAL,User-approved hierarchy + Org.FY2026_Rev.2 PDF,No official code shown/provided
,Marketing,TEAM,5,TMG1,Die Casting,"Toyota Tsusho M&E (Thailand) Co.,Ltd. > GIFU SEIKI Division > Mold & Engineering Department > Die Casting > Marketing",NEEDS_CODE_APPROVAL,User-approved hierarchy + Org.FY2026_Rev.2 PDF,No official code shown/provided
,Production,TEAM,5,TMG1,Die Casting,"Toyota Tsusho M&E (Thailand) Co.,Ltd. > GIFU SEIKI Division > Mold & Engineering Department > Die Casting > Production",NEEDS_CODE_APPROVAL,User-approved hierarchy + Org.FY2026_Rev.2 PDF,No official code shown/provided
,PC/PUR,SUB-TEAM,6,,Production (under TMG1),PC/PUR,NEEDS_CODE_APPROVAL,User-approved hierarchy + Org.FY2026_Rev.2 PDF,Parent code pending because Production code is not approved
,Machine,FUNCTION,7,,PC/PUR (under TMG1),Machine,NEEDS_CODE_APPROVAL,User-approved hierarchy + Org.FY2026_Rev.2 PDF,
,Finishing,FUNCTION,7,,PC/PUR (under TMG1),Finishing,NEEDS_CODE_APPROVAL,User-approved hierarchy + Org.FY2026_Rev.2 PDF,
,QA,FUNCTION,7,,PC/PUR (under TMG1),QA,NEEDS_CODE_APPROVAL,User-approved hierarchy + Org.FY2026_Rev.2 PDF,
,CAM,SUB-TEAM,6,,Production (under TMG1),CAM,NEEDS_CODE_APPROVAL,User-approved hierarchy + Org.FY2026_Rev.2 PDF,Parent code pending because Production code is not approved
,QC,FUNCTION,7,,CAM (under TMG1),QC,NEEDS_CODE_APPROVAL,User-approved hierarchy + Org.FY2026_Rev.2 PDF,
TMG2,Injection,SECTION,4,TMG0,Mold & Engineering Department,"Toyota Tsusho M&E (Thailand) Co.,Ltd. > GIFU SEIKI Division > Mold & Engineering Department > Injection",APPROVED,User-approved hierarchy + Org.FY2026_Rev.2 PDF,
,Production,TEAM,5,TMG2,Injection,"Toyota Tsusho M&E (Thailand) Co.,Ltd. > GIFU SEIKI Division > Mold & Engineering Department > Injection > Production",NEEDS_CODE_APPROVAL,User-approved hierarchy + Org.FY2026_Rev.2 PDF,No official code shown/provided
,CAM,SUB-TEAM,6,,Production (under TMG2),CAM,NEEDS_CODE_APPROVAL,User-approved hierarchy + Org.FY2026_Rev.2 PDF,
,QC,FUNCTION,7,,CAM (under TMG2),QC,NEEDS_CODE_APPROVAL,User-approved hierarchy + Org.FY2026_Rev.2 PDF,
,PC/PUR,SUB-TEAM,6,,Production (under TMG2),PC/PUR,NEEDS_CODE_APPROVAL,User-approved hierarchy + Org.FY2026_Rev.2 PDF,
,Machine,FUNCTION,7,,PC/PUR (under TMG2),Machine,NEEDS_CODE_APPROVAL,User-approved hierarchy + Org.FY2026_Rev.2 PDF,
,Finishing,FUNCTION,7,,PC/PUR (under TMG2),Finishing,NEEDS_CODE_APPROVAL,User-approved hierarchy + Org.FY2026_Rev.2 PDF,
,QA,FUNCTION,7,,PC/PUR (under TMG2),QA,NEEDS_CODE_APPROVAL,User-approved hierarchy + Org.FY2026_Rev.2 PDF,
,CAD,TEAM,5,TMG2,Injection,"Toyota Tsusho M&E (Thailand) Co.,Ltd. > GIFU SEIKI Division > Mold & Engineering Department > Injection > CAD",NEEDS_CODE_APPROVAL,User-approved hierarchy + Org.FY2026_Rev.2 PDF,No official code shown/provided
,Marketing,TEAM,5,TMG2,Injection,"Toyota Tsusho M&E (Thailand) Co.,Ltd. > GIFU SEIKI Division > Mold & Engineering Department > Injection > Marketing",NEEDS_CODE_APPROVAL,User-approved hierarchy + Org.FY2026_Rev.2 PDF,No official code shown/provided
TMH0,Corporate Department,DEPARTMENT,3,TTMET,"Toyota Tsusho M&E (Thailand) Co.,Ltd.","Toyota Tsusho M&E (Thailand) Co.,Ltd. > Corporate Department",APPROVED,User-approved hierarchy + Org.FY2026_Rev.2 PDF,Department at Level 3; not a Division
TMH1,GA,SECTION,4,TMH0,Corporate Department,"Toyota Tsusho M&E (Thailand) Co.,Ltd. > Corporate Department > GA",APPROVED,User-approved hierarchy + Org.FY2026_Rev.2 PDF,
TMH2,HR & Personnel,SECTION,4,TMH0,Corporate Department,"Toyota Tsusho M&E (Thailand) Co.,Ltd. > Corporate Department > HR & Personnel",APPROVED,User-approved hierarchy + Org.FY2026_Rev.2 PDF,
TMH3,Accounting & Finance,SECTION,4,TMH0,Corporate Department,"Toyota Tsusho M&E (Thailand) Co.,Ltd. > Corporate Department > Accounting & Finance",APPROVED,User-approved hierarchy + Org.FY2026_Rev.2 PDF,
